Name,NetWorth_Billions,X,Y,Z,ForceBasedOnAge
Zhang Wanzhen,3.817388,0.6686717,0.32762158,-0.3351758,0.15555556
Li Zhiyuan,2.601246,0.66607875,0.25904572,-0.2470047,0.22222222
Stefan Reimann-Andersen,6.352,0.12145923,0.48207766,0.41342598,0.31111112
Bijan Tehrani,2.197909,0.3855727,-0.5212183,-0.5499055,0.65555555
Clifford Asness,6.282,-0.55833286,0.50633496,0.16402459,0.34444445
Neal Aronson,3.9962,-0.73422295,0.4929361,0.07214649,0.33333334
Domenico Dolce,2.137536,0.07879748,0.5014707,0.4870755,0.25555557
Yu Kai,1.708374,0.60819656,0.5678772,-0.30187455,0.46666667
Zhao Yan,2.9262,0.41176084,0.38446385,-0.2043749,0.35555556
Wang Yun'an,3.384601,0.5516069,0.3727104,-0.32054558,0.56666666
Xavier Niel & family,13.977842,0.021413991,0.5979807,0.52207,0.35555556
Lin Tsung-Chi,4.862249,0.47473395,0.22909322,-0.27756006,0.06666667
Ji Qi,4.0069,0.6335993,0.014691826,-0.15621437,0.34444445
Maximilian von Baumbach,6.542045,0.06794025,0.5769632,0.47984496,0.7
Patokh Chodiev,1.133991,0.59025955,0.5701206,0.13723287,0.2
Thomas Kaeser,6.275332,0.0787875,0.4982597,0.40669838,0.2
Shamsheer Vayalil,1.677925,0.7167294,0.40082112,0.5131844,0.46666667
Sam Gance,3.204389,0.26574755,-0.35923833,-0.37901032,0.15555556
Jean-Pierre Cayard & family,2.000416,0.016992316,0.47450644,0.41427022,0.08888889
Abdullah Al Othaim,2.24083,0.43200344,0.27277127,0.40678775,0.24444444
Katarina Martinson,2.922603,0.10282325,0.5589968,0.31517112,0.51111114
Reagan Horton,2.245971,-0.50459695,0.32692656,-0.06482656,0.44444445
Stefano Gabbana,2.137535,0.07879748,0.5014707,0.4870755,0.3
Ishay Davidi,2.10555,0.41679725,0.45810446,0.59761596,0.3
Marcos Galperin,7.177687,-0.39755586,-0.32223567,0.24479617,0.4
Teo Swee Ann,1.460521,0.51939976,0.3690818,-0.31776643,0.44444445
Dennis Washington,7.74113,-0.43263137,0.505555,-0.19256562,0
Jose Luis Rubiralta,1.275413,0.020903915,0.4889982,0.5544842,0.44444445
Mi Enhua,2.484092,0.40515,0.38887942,0.016977323,0.25555557
David Humphreys & family,1.209931,-0.5606883,0.42512056,-0.044258088,0.23333333
Boris Rotenberg,1.326386,0.2569594,0.61836636,0.33348066,0.24444444
Kai-Uwe Hollweg,1.751689,0.067335546,0.5852229,0.4345989,0.34444445
Gabriella Meister,1.648004,0.094508946,0.5568866,0.49157238,0.14444445
Ekaterina Fedun,1.090435,-0.000970496,0.55630904,0.44237244,0.5888889
Evan Williams,1.952,-0.59884167,0.5497736,-0.38032094,0.41111112
Li Jianguo,1.063611,0.9779856,0.43340167,-0.32375467,0.32222223
Maren Otto,2.629295,0.08307272,0.46720904,0.3484197,0.07777778
Harshil Mathur,1.031325,0.81992143,0.19338612,0.18036595,0.62222224
Sun Piaoyang,12.204538,0.5512249,0.43566287,-0.3082664,0.25555557
Park Dong-suk,1.678096,0.42652547,0.4106665,-0.32115805,0.2888889
Koon Poh Keong,6.748681,0.766872,0.042499576,-0.15750983,0.2888889
Kim Sang-beom,1.507484,0.45097953,0.41720998,-0.35989738,0.2888889
David Thomson,7.267906,-0.46046826,0.44777477,0.08618595,0.24444444
Terry Leprino,1.276217,-0.66100466,0.5688862,-0.17692657,0.2777778
Yin Yee Lee,1.979563,0.6260443,0.28113812,-0.28102317,0.18888889
Brendan Foody,2.2,-0.5112168,0.46932855,-0.32467088,0.75555557
J. Joe Ricketts & family,8.284737,-0.6463868,0.40861207,-0.0020848461,0.06666667
Shrikant Badve,1.359854,0.517095,0.18032594,0.14968799,0.33333334
Zhou Zongwen & family,1.257312,0.61782575,0.2809093,-0.27595678,0.24444444
Warren Kanders,0.948214,-0.59394175,0.3033699,0.10433895,0.24444444
Syed Mokhtar AlBukhary,3.583801,0.5591501,0.031335406,-0.11565712,0.17777778
Yoon Dae-in,2.1,0.3794715,0.36536208,-0.28572816,0.16666667
R.G. Chandramogan,1.67528,0.7015966,0.16548562,0.12019695,0.15555556
Leo Huang,1.585887,0.44643304,0.24356674,-0.2716353,0.17777778
Faruk Eczacibasi,1.402788,0.218675,0.39290765,0.39531812,0.21111111
Laura Love,3.17,-0.59813577,0.4298294,-0.07892024,0.31111112
Dennis Gillings,2.223491,-0.49202517,0.36421376,0.096544065,0.1
Ajay Bhardwaj,2.260056,0.63292336,0.14928088,0.13923019,0.2777778
Sergei Popov,3.017132,0.20081156,0.483248,0.26061228,0.4
Nurit Manor,2.043365,0.34402886,0.37919697,0.4946091,0.2
Eiichi Kuriwada,1.129721,0.4818962,0.4759677,-0.4904001,0.12222222
Barry Bentley & family,1.772929,-0.45425025,0.3953057,0.114657916,0.23333333
Vadim Novinsky,1.168093,0.19105853,0.45560402,0.32404503,0.31111112
Lee Kar Whatt,1.640923,0.7705758,0.028451322,-0.17177404,0.42222223
Richard Kayne,1.315,-0.4734362,0.36360842,-0.25696284,0.12222222
Ignacio Torras,1.5,-0.5703324,0.32758194,-0.053543575,0.33333334
Victor Pinchuk,2.8,0.22143203,0.5280336,0.37556005,0.2777778
Hans-Otto Kromberg,1.37433,0.06725953,0.67361873,0.5363133,0.08888889
Michael Kim,9.94845,0.35791686,0.34460884,-0.26949826,0.31111112
Helly Nahmad,1.34,0.07996258,0.59235543,0.61387336,0.45555556
Michael Ashcroft,1.998924,-0.7879963,0.32735547,0.26914772,0.12222222
Christian Hymer,1.281155,0.11208949,0.6233961,0.5472455,0.5555556
Thomas Duff,4.4546,-0.5053751,0.30762422,0.006260245,0.23333333
Peter Hager,1.22758,0.068623334,0.63687134,0.545759,0.2777778
Jack Ma,28.336775,0.4235074,0.28615597,-0.24610537,0.32222223
Gerald Engström,1.170615,0.08364651,0.5319799,0.29771549,0.14444445
David Paul,2.210193,-0.52575374,0.45480615,0.14016639,0.34444445
Leyla Tara Suyabatmaz,1.080094,0.26021057,0.46753728,0.4704056,0.34444445
Li Zhongchu,2.46349,0.42118534,0.39326355,-0.20905268,0.31111112
Christian Sinding,1.027104,0.089346476,0.6527787,0.59428257,0.41111112
Su Hua,3.676763,0.5149556,0.48081747,-0.25559497,0.5222222
Cyrus Madon,1.007675,-0.42602375,0.41427976,0.07973896,0.34444445
Roger Wang,2.517845,0.41733748,0.29824188,-0.22922295,0.15555556
Hans Sy,1.634038,0.69322944,0.21068636,-0.4162418,0.22222222
Yoshiko Mori,3.293382,0.31579328,0.35064593,-0.37226173,0.055555556
Henry Sy Jr,2.397481,0.7340079,0.22307976,-0.44072676,0.21111111
Stelios Haji-Ioannou,1.403251,0.078113034,0.578257,0.59920025,0.35555556
Ho Hung Anh,2.166451,0.5897037,0.23560336,-0.16732733,0.3888889
Nicola Bulgari,2.451179,0.113449514,0.469752,0.5112599,0.06666667
Elizabeth Sy,1.284785,0.7340079,0.22307976,-0.44072676,0.18888889
Sergei Galitsky,3.124947,0.24969119,0.39759007,0.3086072,0.35555556
Zhong Huijuan,18.066836,0.5596914,0.39771277,-0.3424167,0.2888889
Bruce Cheng,9.719082,0.61759424,0.33867466,-0.37885398,0.011111111
David Feffer,1.458155,-0.42953482,-0.25748098,0.40567842,0.23333333
Alexandra Schoerghuber & family,8.648888,0.11400708,0.634061,0.5566076,0.25555557
Daniel Feffer,1.392781,-0.42953482,-0.25748098,0.40567842,0.26666668
George Joseph,2.539365,-0.46914425,0.35991466,-0.2520139,0
Manfredi Lefebvre d'Ovidio & family,2.124051,0.08384151,0.6206639,0.643143,0.2
Henry Kravis,11.514222,-0.6465031,0.5787651,0.18530858,0.1
Said Gutseriev,1.815462,0.22141746,0.53283554,0.2873545,0.5888889
Lia Maria Aguiar,1.169421,-0.46048456,-0.2701648,0.45107543,0.033333335
Chen Huxiong,1.053989,0.45070982,0.32027122,-0.27574226,0.3888889
Miguel Krigsner,6.816167,-0.5701022,-0.35965773,0.49195302,0.16666667
Vitaly Orlov,1.164269,0.16546834,0.7883229,0.25385207,0.33333334
Lee Boo-jin,8.507222,0.63181865,0.3628032,-0.27014545,0.3888889
Tatyana Kim,8.123946,0.19485922,0.4689238,0.25288734,0.44444445
Mikhail Fridman,16.418798,0.20828402,0.50123024,0.27030998,0.32222223
Margot Birmingham Perot,5.76683,-0.52573,0.34099382,-0.06275181,0
Qi Xiangdong,1.232258,0.42118534,0.39326355,-0.20905268,0.3888889
George Kurtz,8.060172,-0.40236565,0.4797549,-0.20501727,0.3888889
Sean Parker,3.355998,-0.6539498,0.5016925,-0.35128734,0.4888889
Steven Klinsky,4.884,-0.47354433,0.42392823,0.13573304,0.23333333
James Ratcliffe,18.164951,-0.00079864875,0.45780256,0.36404088,0.2
David Golub,2.547,-0.6465031,0.5787651,0.18530858,0.3
Andrew Tan,1.611251,0.69322944,0.21068636,-0.4162418,0.18888889
Dmitri Bukhman,13.564184,-0.0012019712,0.6889956,0.5478837,0.5555556
Mitchell Jacobson,1.754944,-0.49399567,0.4456886,0.14541805,0.17777778
Alessandra Garavoglia,2.465538,0.0705787,0.449166,0.43627226,0.2777778
Richard Liu,5.571056,0.3897813,0.36394137,-0.19346549,0.43333334
David Wertheim,3.848526,0.401291,0.4414305,0.5765355,0.25555557
Jane Lauder,2.285232,-0.44889605,0.4018625,0.12866804,0.42222223
Romano Minozzi,3.238481,0.090987824,0.46844518,0.4673649,0
Elaine Marshall & family,30.93,-0.56194663,0.36448428,-0.06707467,0.07777778
Qian Ying,1.400915,0.6448576,0.4532955,-0.26754153,0.34444445
Airat Shaimiev,1.931651,0.32718688,0.6364673,0.28319725,0.3
Wang Jilei,1.31896,0.8998718,0.63944256,-0.5505376,0.33333334
Reinhold Schmieding,5.62227,0.13220349,0.4638708,0.51986384,0.22222222
John Bicket,3.559521,-0.39755502,0.36498,-0.25248492,0.5
Andrei Kuzyaev,1.314776,0.30078015,0.72381985,0.390351,0.33333334
Clayton Zekelman,2.242,-0.43375584,0.39763865,0.05313167,0.37777779
Frank Lowy,8.74998,0.31412068,0.3451776,0.4522869,0
Ruan Hongliang,2.094159,0.5477048,0.3791902,-0.3258502,0.2888889
Chung Yong-jin,2.186864,0.35576674,0.34253868,-0.26787934,0.36666667
Li Xiaohua & family,1.679736,0.5195936,0.24095632,-0.1155929,0.3
Abdulla Al Futtaim & family,4.714417,0.61394846,0.3494087,0.42497054,0.055555556
Radha Vembu,2.108116,0.54268986,0.12800427,0.09297318,0.41111112
Jose Ermirio de Moraes Neto,1.425516,-0.5568958,-0.33382642,0.5259658,0.18888889
Xu Wanmao,1.225954,0.6579817,0.44359073,-0.40399262,0.11111111
Vladimir Lisin,25.532466,0.27276036,0.65639096,0.35398707,0.23333333
Shen Xiqiang & family,2.949011,0.47256806,0.33196673,-0.27086353,0.14444445
Christopher Hohn,11.83,-0.0009969666,0.57148266,0.45443836,0.34444445
John Oyler,1.789935,-0.4010406,0.38142353,-0.2298063,0.36666667
Mark Cuban,6.038938,-0.6175364,0.40054038,-0.07370994,0.25555557
Timothy Springer,1.168947,-0.4193056,0.40355518,0.14301941,0.14444445
Horst Julius Pudwill,6.896167,0.66884744,0.30035976,-0.30023697,0.1
Jian Jun,2.666224,0.5808418,0.5423358,-0.28829715,0.31111112
Jay Y. Lee,23.230441,0.49204025,0.47374532,-0.3704883,0.36666667
Liu Fangyi,2.359278,0.55080354,0.39139712,-0.33697915,0
Bent Jensen & Family,2.324201,0.06116744,0.5174411,0.35633478,0.17777778
Luo Yangyong & family,1.876494,0.76681167,0.3919016,-0.15897797,0.44444445
Dan Gertler,1.48072,0.42382106,0.46509913,0.6090316,0.42222223
Wang Ning & family,16.461169,0.4775254,0.44586864,-0.23701672,0.5777778
Binod Chaudhary,2.079665,0.73734987,0.38844013,0.060353808,0.22222222
Sunil Vachani,2.313894,0.6844931,0.38348567,0.15511717,0.36666667
Ricardo Salinas Pliego & family,3.65314,-0.53701836,0.19184363,-0.08628264,0.22222222
Kim Kardashian,1.885,-0.63899964,0.49022308,-0.34325644,0.5
Ilona Herlin,1.975778,0.1346285,0.5568947,0.28956354,0.33333334
Li Hua,7.806868,0.4798405,0.21817097,-0.21432455,0.47777778
Stefan Olsson,2.536767,-0.0011409515,0.6540178,0.52006966,0.15555556
Sergey Dmitriev,1.389,0.28052184,0.35194156,0.41617417,0.34444445
Koo Bon-neung,2.425239,0.5064384,0.48760805,-0.38132954,0.15555556
Artem Khachatryan,1.831,0.25187987,0.31971467,0.38729963,0.44444445
Dan Olsson,3.756804,0.092561126,0.7063496,0.43671012,0.13333334
Zhu Zhaojiang,1.094708,0.56459624,0.25670722,-0.25218138,0.43333334
Rustem Sulteev,1.756209,0.32718688,0.6364673,0.28319725,0.21111111
Michael Saylor,4.252251,-0.50566053,0.24778643,0.08739997,0.33333334
Juan Abello,3.554994,-0.03195362,0.42136213,0.493777,0.06666667
Yang Weidong & family,4.019261,0.4319862,0.29907525,-0.25700486,0.36666667
Brian Higgins,1.8,-0.53200406,0.47626278,0.15248947,0.33333334
Xu Guozhong & family,1.128689,0.56165206,0.40151235,-0.32366925,0.31111112
Yang Xuegang,1.343039,0.4191495,0.39136267,-0.20804222,0.33333334
Dariusz Milek,0.985786,0.12897769,0.55106246,0.42516604,0.36666667
Heikki Herlin,2.131169,0.1346285,0.5568947,0.28956354,0.5777778
Tilman Fertitta,11.592057,-0.48909107,0.2809193,-0.045916528,0.24444444
Peter Kelly,1.073557,-0.02522296,0.6988115,0.55618083,0.24444444
Andrei Molchanov,1.329483,0.26812196,0.6452288,0.3479674,0.4
Wu Bo,1.406044,0.6081326,0.4345898,-0.33401734,0.21111111
Guo Guangchang,2.251354,0.6095416,0.43313596,-0.37291482,0.35555556
August Troendle,3.639897,-0.4823055,0.39414304,0.046318315,0.23333333
Anne Beaufour,4.19111,0.7218869,0.4145222,-0.3086557,0.31111112
Qian Jinghong,1.007888,0.60043305,0.42726278,-0.35070464,0.42222223
Bernard Saul II & family,2.735798,-0.5804578,0.48167264,0.13328598,0
Amnon Shashua,1.7652,0.41716394,0.45980823,0.5997551,0.2777778
Douglas Leone,10.390844,-0.020010823,0.6221336,0.45952097,0.24444444
Zhang Xuewu,1.209501,0.45786098,0.26663283,-0.19407618,0.43333334
Jim Kennedy,10.122619,-0.49260816,0.3307229,0.04840485,0.13333334
Gao Xingjiang,2.42202,0.4387742,0.30315426,-0.25427985,0.31111112
Travis Kalanick,3.562,-0.53571206,0.41098368,-0.28777263,0.45555556
Ronald Clarke,1.485603,-0.5249044,0.5590179,-0.01930789,0.22222222
Shigenobu Nagamori,2.24083,0.43570784,0.43758994,-0.44732594,0.1
Bill Malhotra,2.350106,-0.4088658,0.42804316,0.104233064,0.15555556
Bobby Murphy,1.531277,-0.4680628,0.39141634,0.047613475,0.5888889
Mathias Doepfner,2.761472,0.11040145,0.6341161,0.4757117,0.31111112
Peter Hargreaves,3.651387,-0.016063323,0.44504032,0.35420552,0.12222222
Yu De-Chao,1.092793,0.57616574,0.40703753,-0.3406811,0.32222223
William Berkley & family,5.93906,-0.5707659,0.27886796,0.09800379,0.12222222
Zhao Tongtong,1.417412,0.5484477,0.24629179,-0.2461911,0.35555556
Patrick Lee,4.182858,0.52688533,0.23660876,-0.23651202,0.07777778
Veronica Squinzi,1.146599,0.07580097,0.48240077,0.468553,0.41111112
Tom Persson,2.157172,0.14122283,0.76775545,0.4328725,0.5555556
Xiong Haitao,1.309185,0.7386956,0.3432063,-0.31736907,0.32222223
Vladimir Potanin,29.740299,0.19255921,0.46338892,0.24990241,0.2888889
Kristo Käärmann,2.258678,-0.0008325722,0.4772482,0.37950388,0.5
Bubba Cathy,13.622629,-0.62590754,0.42021626,0.061503164,0.21111111
Satyanarayana Chava,1.453598,0.73249173,0.2340587,0.14960755,0.2888889
Bahaa Hariri,2.270534,0.06361076,0.61964756,0.5907598,0.34444445
Byron Trott,4.337,-0.47199148,0.36542824,-0.25703883,0.25555557
Daniel Tsai,7.766024,0.69238967,0.37969077,-0.42473608,0.23333333
Tench Coxe,7.539731,-0.52013683,0.47037542,-0.32682532,0.25555557
Steve Wynn,3.864945,-0.64529276,0.32959864,0.11335988,0.07777778
Carsten Koerl,1.70453,0.08234444,0.6016208,0.5477089,0.32222223
Clemens Toennies,1.229909,0.060291503,0.53168416,0.41327307,0.23333333
Venu Srinivasan,5.679897,0.552005,0.13020144,0.09456904,0.18888889
Daniel Mate,3.885457,0.08578332,0.6118099,0.5636159,0.31111112
Satyanarayan Nuwal,6.139252,0.82119083,0.32348627,0.15836108,0.18888889
Juergen Blickle,7.486606,0.08023429,0.62009406,0.5306508,0.13333334
Alejandro Baillères Gual & family,17.496951,-0.77803224,0.27794307,-0.1250063,0.2888889
Dustin Moskovitz,10.34324,-0.59781563,0.5488316,-0.37966928,0.54444444
Gurbachan Singh Dhingra,2.424249,0.5935192,0.33251774,0.13450101,0.16666667
Brandt Louie,1.710063,-0.4184362,0.5798135,-0.272976,0.08888889
Oren Zeev,2,-0.4373861,0.39460614,-0.27452168,0.32222223
Semahat Sevim Arsel,2.865361,0.3051868,0.5483491,0.55171317,0
Lin Lairong & family,4.915739,0.61952275,0.5591982,-0.19396873,0.36666667
Lin Jianhua,4.139281,0.5668794,0.38302976,-0.32942063,0.3
Peng Zhao,1.029032,0.56831735,0.53064173,-0.28208074,0.4
Maria-Elisabeth Schaeffler-Thumann,4.437828,0.10044272,0.62423164,0.52229357,0.06666667
Li Jianli,1.920453,0.6512977,0.2961281,-0.29090726,0.41111112
Zan Shengda,1.161116,0.608003,0.4431707,-0.3635177,0.31111112
Ion Stoica,5.031,-0.43921176,0.40397546,-0.27736634,0.33333334
Alicia Koplowitz,2.221739,-0.042950593,0.5663756,0.6637124,0.2
Lina Tombolato,2.679223,0.08145493,0.40689445,0.389336,0.13333334
Sarah MacMillan,2.568498,-0.49849877,0.38243467,-0.26778248,0.21111111
John Krystynak,2.905,-0.50497514,0.47629684,-0.29121962,0.36666667
Masayoshi Son,48.781178,0.34921056,0.3877513,-0.41165453,0.24444444
Sasson Dayan & family,1.66911,-0.38962665,-0.23355836,0.36798674,0.055555556
Lin Bin,10.884287,0.46003038,0.42953345,-0.22833319,0.36666667
Tope Awotona,1.35,-0.50724524,0.34054983,0.049843125,0.51111114
Sandro Veronesi & family,1.897033,0.07271367,0.4627531,0.44946933,0.26666668
Koon Poh Ming,1.468477,0.53035355,0.031884175,-0.22548543,0.23333333
Horst Wortmann & family,1.749244,0.05413836,0.44824436,0.3467815,0.06666667
Jeffrey Michael & family,1.153667,-0.52750593,0.5268964,-0.032294128,0.23333333
Reid Hoffman,2.674553,-0.5071812,0.45865926,-0.31868473,0.35555556
Jeff Sprecher,1.194267,-0.730846,0.4906689,0.07181466,0.22222222
Yi Zheng,9.56444,0.4576287,0.3092111,-0.2659337,0.3888889
Ashwin Desai,1.179048,0.5831625,0.2366943,0.18018228,0.17777778
Charles Bronfman,2.4585,-0.54573536,0.27874735,0.095870435,0
Stewart Resnick,5.3935,-0.40939826,0.31479564,-0.22136441,0.011111111
Yu Peidi,1.342699,0.4384472,0.3115575,-0.26824003,0.2777778
Stephen Deckoff,2.861399,-0.47630844,0.65485364,0.3627277,0.33333334
Jan Koum,17.104653,-0.021999616,0.6839649,0.50519085,0.45555556
Stephen Butt & family,3.195,-0.47891167,0.31062698,-0.057163514,0.22222222
G.V. Prasad,1.622122,0.71739846,0.22923583,0.14652483,0.2777778
Fan Daidi,2.670346,0.5962776,0.4293346,-0.20448385,0.34444445
Shen Guojun,4.919995,0.38603905,0.36044723,-0.19160804,0.3
Cai Huabo,7.717188,0.62436634,0.39631793,-0.30455247,0.45555556
Jim Davis,4.015225,-0.621694,0.52637947,0.14760515,0.2777778
Philip Ng,7.114678,1.0288216,0.023856195,-0.25365672,0.26666668
Alexander Abramov,5.830664,0.23475336,0.56492805,0.30466175,0.26666668
Dewi Kam,3.379004,0.67548513,-0.07685287,-0.20452133,0.16666667
Luigi Cremonini & family,1.062131,0.12042484,0.6276198,0.623867,0.044444446
Leonardo Maria Del Vecchio,6.357989,0.088561326,0.5636082,0.5474293,0.6666667
Fiona Geminder,2.544737,0.35933477,-0.4857498,-0.51248485,0.32222223
Rajiv Bajaj,5.259155,0.7610735,0.26540828,0.22031459,0.34444445
Cheng Xue,2.769256,0.64969885,0.30028015,-0.2775424,0.3888889
Lee Yeow Chor,4.587432,0.7103503,0.037195303,-0.14699169,0.35555556
Stefano Pessina,6.307,0.07148133,0.52916366,0.5483289,0.06666667
Stefan Wirtgen,3.109713,0.19581984,0.53741974,0.44889486,0.3888889
Liu Ming Hui,1.019319,0.7361971,0.33060452,-0.33046937,0.31111112
Samuel Chen,1.751781,0.52844423,0.3034435,-0.22594585,0.16666667
Johnelle Hunt,5.310044,-0.5462518,0.39057383,0.10738424,0
David Blitzer,4.042,-0.8772563,0.7853408,0.25144985,0.37777779
You Xiaoping & family,9.543066,0.5442928,0.33645192,-0.3227511,0.25555557
John Wilson,1.73399,0.37416372,-0.5057956,-0.53363395,0.022222223
Adi Godrej,4.171743,0.5840211,0.21128415,0.17986263,0.07777778
Amy Adams Strunk,2.771,-0.48357302,0.35403758,0.027168145,0.22222222
Dominika Kulczyk,2.048945,-0.0011409515,0.6540178,0.52006966,0.46666667
Kwee Liong Tek,1.830737,0.58342326,0.01352835,-0.14384343,0.13333334
Gordon Getty & family,5.48768,-0.56829005,0.52172524,-0.36091775,0
Pan Shiyi,1.166137,0.41297907,0.3856013,-0.20497955,0.31111112
John Grayken,7.484,-0.001211536,0.69447833,0.55224353,0.23333333
Anthony Hall,2.810926,0.262711,-0.35513347,-0.37467957,0.22222222
Mong-Koo Chung,7.830771,0.513632,0.4945342,-0.38674605,0.033333335
Ben Francis,1.229983,-0.015581109,0.61209726,0.4697364,0.6333333
David Siegel,7.98,-0.529083,0.47906542,0.1538671,0.2888889
Xiong Xiaochuan,1.288224,0.5980227,0.27190536,-0.26711157,0.34444445
Bruce Karsh,2.58,-0.6476164,0.4968336,-0.34788516,0.22222222
Lyu Yixiong,2.522201,0.60874444,0.4325695,-0.3724271,0.31111112
Caroline Hagen Kjos,3.006664,0.05979296,0.42589352,0.38990632,0.54444444
Zachary Stern,1.036126,-0.52428347,0.3314247,-0.0016910159,0.5222222
Thomas Struengmann & family,10.969235,0.10520281,0.56758606,0.5054281,0.16666667
Don Levin,2.8885,-0.53753865,0.4855494,0.020764839,0.17777778
Rakesh Gangwal,5.417356,-0.5374138,0.2633463,0.092888296,0.2
William Goldring & family,6,-0.5374026,0.30970356,-0.00070442975,0.08888889
Wei Ying-Chiao,2.337,0.62005514,0.34002414,-0.38036355,0.22222222
Lalit Khaitan,1.703645,0.6373625,0.35708085,0.14443661,0.08888889
Chen Hua & family,2.811889,0.50685006,0.23045152,-0.2263886,0.34444445
Anil Gupta,1.610247,0.6685398,0.37454787,0.1515019,0.26666668
Carl Icahn,4.225572,-0.57608986,0.28365317,0.10022057,0.011111111
Charles Liang,1.691629,-0.57724756,0.5186846,-0.35923502,0.25555557
Karsanbhai Patel,3.403226,0.57512397,0.25617063,0.18037283,0.1
Zahan Mistry,2.929138,0.7547391,0.27304563,0.23243915,0.7111111
Wei Yin-Chun,2.337,0.62005514,0.34002414,-0.38036355,0.24444444
Zhou Chaonan,10.739959,0.60395837,0.5577721,-0.30395362,0.2777778
Ni Zugen,2.385613,0.5507194,0.38906074,-0.32563493,0.24444444
Marc Fielmann,3.423615,0.06422632,0.50111735,0.36450613,0.6
Yvonne Bauer,2.462846,0.089180134,0.69581616,0.5061275,0.46666667
Andrew Bialecki,1.665651,-0.50279737,0.48469007,0.17254022,0.5555556
Gail Miller & family,4.79685,-0.5674745,0.5271656,-0.22802082,0.08888889
Natacha Nikolajevic,2.311864,0.019304978,0.539087,0.47065255,0.35555556
Norman Braman,4.002117,-0.63263565,0.31000745,0.10934675,0
Pierre van der Mersch & family,2.453692,0.03344315,0.53619206,0.43784913,0
Cheng Xianfeng,1.043064,0.5791519,0.4050361,-0.2986767,0.36666667
Kabir Mulchandani,2.154338,0.4476175,0.25474685,0.3098375,0.41111112
James Packer,3.718922,-0.47435975,0.36391586,-0.25481555,0.35555556
John Abele & family,2.039,-0.66264015,0.6773034,0.19971214,0.022222223
Gustav Magnar Witzoe,4.302562,0.055843286,0.748974,0.36553434,0.64444447
Jeffrey Koo Jr,5.767756,0.69238967,0.37969077,-0.42473608,0.32222223
Viatcheslav Kantor,11.953658,0.30348998,0.33422533,0.43625182,0.2
Sam Chong,2.592532,0.35240516,-0.40392062,-0.6924738,0.07777778
William Lauder,1.580481,-0.4668839,0.41796565,0.13382393,0.2777778
Leopoldo Espinosa Abdalá,1.574849,-0.7188772,0.27953967,-0.17109355,0
John Gandel,4.500159,0.2695492,-0.3643774,-0.38443226,0
Athanasios Martinos & family,2.108664,0.23213464,0.45045048,0.5281208,0.16666667
Masahiro Noda,3.219125,0.32206836,0.35761356,-0.3796589,0.033333335
Daniel Hunt & family,2.0004,-0.7009612,0.45465055,-0.08366763,0.45555556
Diego Della Valle,1.655363,0.14193952,0.56384474,0.58274955,0.2
Albert Nahmad,1.304979,-0.54045373,0.26415384,0.092688285,0.055555556
Zheng Xiaodong,1.106517,0.63938785,0.45434448,-0.3911746,0.32222223
Igor Yakovlev,1.282136,0.2825963,0.6800609,0.3667521,0.33333334
Stephen Schwarzman,36.971451,-0.47354433,0.42392823,0.13573304,0.13333334
Dmitry Alexeyev,1.622005,0.30543986,0.3839292,-0.27380076,0.43333334
John Bloor,2.097654,-0.031043947,0.57444525,0.43896163,0.08888889
Cheng Zhenghui,1.552187,0.58008987,0.26375175,-0.25910172,0.32222223
Tony Tan Caktiong,1.0554,0.56920856,0.17299393,-0.34177485,0.2
